Município,Ano,Cultura,Área Plantada (ha),Produção (t),Produtividade (t/ha),Valor da Produção (mil R$)
Nova Friburgo,2017,Maçã,190.9,4221.9,22.1,15978.5
Nova Friburgo,2017,Pêssego,154.0,3321.9,21.6,12889.6
Nova Friburgo,2017,Ameixa,11.4,239.5,21.1,950.9
Nova Friburgo,2017,Caqui,155.2,3178.5,20.5,12990.2
Nova Friburgo,2017,Morango,60.5,1796.1,29.7,5059.8
Nova Friburgo,2017,Maçã,14.1,294.0,20.8,316.0
Nova Friburgo,2017,Pêssego,3.9,90.1,22.8,88.5
Nova Friburgo,2017,Ameixa,2.9,52.8,18.3,64.5
Nova Friburgo,2017,Caqui,9.0,192.6,21.4,201.9
Nova Friburgo,2017,Morango,17.1,449.4,26.3,382.1
Teresópolis,2017,Maçã,225.2,4041.5,17.9,5908.0
Teresópolis,2017,Pêssego,148.2,2894.2,19.5,3887.6
Teresópolis,2017,Ameixa,36.5,697.7,19.1,957.0
Teresópolis,2017,Caqui,25.1,551.5,21.9,659.7
Teresópolis,2017,Morango,57.9,1273.5,22.0,1519.7
Teresópolis,2017,Maçã,0.9,19.5,21.1,7.0
Teresópolis,2017,Pêssego,1.4,27.3,18.9,10.9
Teresópolis,2017,Ameixa,1.0,19.4,18.9,7.8
Teresópolis,2017,Caqui,1.3,22.0,17.0,9.8
Teresópolis,2017,Morango,0.3,7.3,22.9,2.4
