Município,Ano,Cultura,Área Plantada (ha),Produção (t),Produtividade (t/ha),Valor da Produção (mil R$)
Nova Friburgo,2017,Alface,46.5,1700.0,36.6,3891.2
Nova Friburgo,2017,Couve,44.2,1449.7,32.8,3700.5
Nova Friburgo,2017,Brócolis,36.3,1223.4,33.7,3036.7
Nova Friburgo,2017,Repolho,99.9,3502.1,35.1,8357.2
Nova Friburgo,2017,Cenoura,140.1,5328.6,38.0,11724.4
Nova Friburgo,2017,Beterraba,6.8,284.6,42.1,566.2
Nova Friburgo,2017,Batata,16.4,615.5,37.6,1369.3
Nova Friburgo,2017,Tomate,20.4,910.9,44.6,1710.4
Nova Friburgo,2017,Pimentão,95.4,5265.9,55.2,7987.5
Nova Friburgo,2017,Abobrinha,66.0,2977.1,45.1,5525.4
Nova Friburgo,2017,Alface,3.0,103.0,34.3,67.3
Nova Friburgo,2017,Couve,0.1,5.2,35.9,3.3
Nova Friburgo,2017,Brócolis,0.1,4.6,34.0,3.0
Nova Friburgo,2017,Repolho,0.5,16.5,32.5,11.4
Nova Friburgo,2017,Cenoura,8.0,336.7,42.1,179.3
Nova Friburgo,2017,Beterraba,2.2,86.5,38.8,49.9
Nova Friburgo,2017,Batata,17.4,709.9,40.8,389.4
Nova Friburgo,2017,Tomate,7.8,383.2,49.0,175.1
Nova Friburgo,2017,Pimentão,4.4,201.3,46.0,98.0
Nova Friburgo,2017,Abobrinha,3.4,144.2,42.4,76.2
Teresópolis,2017,Alface,19.9,583.0,29.3,522.5
Teresópolis,2017,Couve,11.4,343.2,30.1,298.6
Teresópolis,2017,Brócolis,3.0,99.3,32.9,79.1
Teresópolis,2017,Repolho,80.3,2576.3,32.1,2107.5
Teresópolis,2017,Cenoura,62.9,2400.7,38.1,1650.8
Teresópolis,2017,Beterraba,14.8,609.3,41.1,389.2
Teresópolis,2017,Batata,51.1,1920.7,37.6,1339.8
Teresópolis,2017,Tomate,2.5,95.1,38.5,64.9
Teresópolis,2017,Pimentão,75.9,3480.9,45.9,1990.9
Teresópolis,2017,Abobrinha,171.1,7348.2,42.9,4488.8
Teresópolis,2017,Alface,0.2,7.0,31.0,1.7
Teresópolis,2017,Couve,0.0,0.9,30.6,0.2
Teresópolis,2017,Brócolis,0.9,30.4,32.1,7.2
Teresópolis,2017,Repolho,0.2,6.7,28.7,1.8
Teresópolis,2017,Cenoura,0.2,7.3,37.3,1.5
Teresópolis,2017,Beterraba,0.0,0.1,39.2,0.0
Teresópolis,2017,Batata,0.5,19.8,38.0,4.0
Teresópolis,2017,Tomate,0.7,37.6,52.8,5.4
Teresópolis,2017,Pimentão,1.9,99.8,53.3,14.2
Teresópolis,2017,Abobrinha,0.3,10.0,38.1,2.0
