Ano,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2000,0.494885,0.1412,0.6697,0.12604779074871394,0.49133499999999997,0.3462,0.6181,0.07719978371254131
2001,0.46248695652173916,0.1439,0.6697,0.10952638247699968,0.4681565217391304,0.3714,0.5632,0.05375746735517483
2002,0.461095652173913,-0.3,0.6385,0.18617094167912374,0.4522086956521739,0.3324,0.5726,0.06697339982847654
2003,0.4410652173913044,0.0868,0.5957,0.12924264919731993,0.4455130434782609,0.3255,0.5499,0.0584424915804793
2004,0.46031304347826085,0.2164,0.6295,0.09501704298965538,0.4613391304347826,0.3591,0.5534,0.05074127546261646
2005,0.45489565217391303,0.1553,0.8082,0.12965412898190068,0.4572869565217391,0.3753,0.5286,0.042504249031958534
2006,0.4371695652173913,0.0904,0.6607,0.12497737407875296,0.4265521739130435,0.2679,0.523,0.06911639635469496
2007,0.43341739130434787,0.1722,0.6166,0.09487403923180515,0.4401695652173913,0.3595,0.4992,0.038597696996566226
2008,0.46149999999999997,0.2135,0.6075,0.10353949180692537,0.4639260869565217,0.3461,0.5428,0.05557851299485589
2009,0.439,0.0579,0.595,0.1485047290339757,0.44133043478260875,0.3565,0.5765,0.05245205113228833
2010,0.47354347826086957,0.2788,0.6088,0.07339763945973243,0.46951739130434783,0.4089,0.5381,0.033367017631377394
2011,0.4626304347826087,0.1519,0.6641,0.11180499027235935,0.45710869565217394,0.3332,0.5578,0.06033208789723366
2012,0.4847130434782609,0.2174,0.6161,0.10146869335526744,0.48889565217391306,0.3737,0.5827,0.05857647276898238
2013,0.46222608695652173,0.0958,0.648,0.13288274810178713,0.46379130434782606,0.2806,0.6091,0.09183151525307584
2014,0.5048260869565218,0.3081,0.6446,0.0804004817793758,0.5047304347826087,0.4273,0.6327,0.05991300082606604
2015,0.4628739130434783,0.1561,0.6942,0.10963133351618758,0.46749565217391303,0.4026,0.6054,0.04544256593128267
2016,0.46467391304347827,0.3158,0.6143,0.08119763888971662,0.4576782608695652,0.3815,0.5393,0.04032648527977316
2017,0.48664347826086957,0.2263,0.7083,0.0937252067874581,0.4889521739130435,0.4055,0.5963,0.047127755473482795
2018,0.4749565217391304,0.2043,0.7908,0.10814581833670416,0.47350869565217396,0.4183,0.5349,0.03177126936891651
2019,0.49732173913043476,0.2861,0.6535,0.08178710143093657,0.5019260869565217,0.4582,0.5611,0.025458794111828217
2020,0.4660173913043479,0.1086,0.6649,0.10525135132872043,0.47051304347826084,0.3908,0.5649,0.0389390584976042
2021,0.4654695652173913,0.1261,0.847,0.14172284551444572,0.4630565217391304,0.3329,0.6212,0.07842213756382217
2022,0.4783826086956522,0.3197,0.7898,0.10155852612779004,0.47753478260869564,0.3747,0.6016,0.0579312179045559
2023,0.4876869565217391,0.3994,0.6553,0.07214321176626784,0.48158260869565217,0.4047,0.5502,0.0421435388358957
2024,0.4637695652173913,0.3586,0.6836,0.07355222902983238,0.46772608695652174,0.4203,0.5957,0.043050701793364364
2025,0.53325,0.39,0.7465,0.12104129460642762,0.5286666666666666,0.4483,0.6062,0.07005499744248563
