Ano,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2000,0.44369,0.3395,0.5777,0.05736040170893616,0.441105,0.3893,0.4865,0.028215122391705958
2001,0.43211739130434784,0.3597,0.5557,0.05810367420845036,0.43538260869565215,0.3762,0.4779,0.03070619795554922
2002,0.44603478260869567,0.2119,0.5557,0.07584094365959503,0.44706956521739133,0.4074,0.5216,0.03142227690932037
2003,0.4252956521739131,0.2924,0.542,0.06039854361775824,0.4113217391304348,0.3044,0.53,0.04171608537070715
2004,0.3952608695652174,-0.3,0.5138,0.16112914283870797,0.40385652173913045,0.2815,0.5125,0.060679986412227736
2005,0.38906956521739133,0.1423,0.5832,0.11225725501876405,0.39508260869565215,0.2287,0.5105,0.07736440132829421
2006,0.4332521739130435,0.2068,0.6179,0.09061820442014955,0.4266913043478261,0.3308,0.553,0.06461323332683962
2007,0.4253782608695652,0.2156,0.6232,0.08547323853656681,0.43105217391304346,0.3826,0.5187,0.03769692379015968
2008,0.4305913043478261,0.1889,0.5384,0.08361058498149988,0.4290565217391304,0.3779,0.4968,0.033877477448311745
2009,0.44003043478260867,0.1773,0.6888,0.10673424275777245,0.44054782608695653,0.3978,0.4927,0.02754957299727195
2010,0.45462608695652174,0.2782,0.597,0.06474150149487017,0.4537173913043478,0.3879,0.5301,0.039188224717658995
2011,0.4668130434782609,0.2559,0.6399,0.08799467083216835,0.46800869565217396,0.3934,0.5738,0.055681275725356395
2012,0.4523869565217391,0.113,0.564,0.09033660440187943,0.452495652173913,0.345,0.5391,0.049254814977004756
2013,0.48962608695652177,0.3876,0.6219,0.06042153602657151,0.48633478260869567,0.439,0.5276,0.022051790459066897
2014,0.4824695652173913,0.3434,0.5899,0.05261794055247879,0.4832739130434782,0.4375,0.5399,0.02666883126919557
2015,0.4484826086956522,0.2369,0.6119,0.07557293678760643,0.45103913043478266,0.3511,0.5191,0.04721335268689096
2016,0.4643086956521739,0.24,0.5873,0.07504293263945937,0.4657869565217392,0.3824,0.5176,0.034865668244483526
2017,0.4555130434782609,0.2158,0.5721,0.07608456601552481,0.44984782608695645,0.3563,0.5377,0.04943076765046071
2018,0.44676521739130437,0.1803,0.6269,0.09118243256189833,0.45285217391304344,0.3463,0.5149,0.047804515472962855
2019,0.5004565217391305,0.3707,0.6418,0.05878308218346621,0.49593913043478255,0.4535,0.5773,0.038080772279344616
2020,0.46887826086956524,0.3326,0.5998,0.06728876683587305,0.47009130434782614,0.4195,0.5148,0.026212278750849843
2021,0.4724695652173913,0.2749,0.6172,0.0778912028804666,0.47110434782608696,0.4161,0.5619,0.04741237351214697
2022,0.4569347826086957,0.1783,0.6207,0.10603861907426873,0.4642652173913044,0.3687,0.5616,0.047267850006836296
2023,0.4886,0.3004,0.6507,0.08886964406569678,0.4820478260869565,0.3767,0.5933,0.05557484608873482
2024,0.48914782608695656,0.308,0.6771,0.10438701534353792,0.4924434782608696,0.3922,0.5798,0.05555192350885425
2025,0.5469166666666667,0.3955,0.7223,0.10815942708181599,0.5386333333333333,0.4963,0.585,0.0349927230530387
