Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2000,2,0.5911,0.5911,0.5911,,0.5658,0.5658,0.5658,
2000,3,0.5366,0.5295,0.5437,0.010040916292848968,0.5393,0.525,0.5536,0.02022325394193523
2000,4,0.50745,0.4719,0.543,0.050275292142363606,0.50465,0.5013,0.508,0.004737615433949936
2000,5,0.49755000000000005,0.455,0.5401,0.06017478707897518,0.51635,0.4977,0.535,0.026375082938258243
2000,6,0.5207999999999999,0.5181,0.5235,0.0038183766184072894,0.4636,0.4624,0.4648,0.001697056274847743
2000,7,0.32085,0.2049,0.4368,0.16397806255716038,0.3746,0.3488,0.4004,0.03648670990922584
2000,8,0.31365,0.1412,0.4861,0.24388112883124022,0.3603,0.3462,0.3744,0.019940411229460643
2000,9,0.518,0.5014,0.5346,0.023475945135393344,0.4616,0.4608,0.4624,0.0011313708498984889
2000,10,0.5646,0.5337,0.5955,0.04369919907732869,0.5379499999999999,0.5012,0.5747,0.05197234841721129
2000,11,0.4368,0.4368,0.4368,,0.6181,0.6181,0.6181,
2000,12,0.6554,0.6411,0.6697,0.02022325394193523,0.56305,0.5504,0.5757,0.017889801564019682
2001,1,0.4068,0.1439,0.6697,0.3717967455478867,0.5185500000000001,0.5057,0.5314,0.01817264427649427
2001,2,0.55365,0.5266,0.5807,0.03825447686219225,0.4585,0.4558,0.4612,0.0038183766184073874
2001,3,0.50525,0.4446,0.5659,0.08577205255792819,0.52765,0.4921,0.5632,0.050275292142363606
2001,4,0.5442,0.5347,0.5537,0.013435028842544376,0.52965,0.5241,0.5352,0.007848885271170716
2001,5,0.50785,0.5037,0.512,0.005868986283848326,0.5132,0.4996,0.5268,0.019233304448274112
2001,6,0.47355,0.4484,0.4987,0.03556747109368333,0.49255,0.4847,0.5004,0.01110157646462875
2001,7,0.5132,0.5128,0.5136,0.0005656854249491757,0.49019999999999997,0.489,0.4914,0.0016970562748477038
2001,8,0.4581,0.4255,0.4907,0.04610336213336292,0.44235,0.4359,0.4488,0.00912167747730646
2001,9,0.3385,0.3004,0.3766,0.053881536726414936,0.3991,0.391,0.4072,0.011455129855222065
2001,10,0.4929,0.4929,0.4929,,0.4033,0.4033,0.4033,
2001,11,0.38985000000000003,0.3796,0.4001,0.014495689014324218,0.39935,0.3714,0.4273,0.039527269068328034
2001,12,0.3812,0.3296,0.4328,0.07297341981845169,0.41105,0.3868,0.4353,0.03429467888754761
2002,1,0.44745,0.2763,0.6186,0.24204265120015525,0.4269,0.421,0.4328,0.008343860018001284
2002,2,0.5044,0.3703,0.6385,0.18964603871423202,0.47404999999999997,0.4587,0.4894,0.021708178182427033
2002,3,0.5139,0.4698,0.558,0.06236681810065353,0.54015,0.5077,0.5726,0.045891230099006905
2002,4,0.5407500000000001,0.5271,0.5544,0.019304015126392703,0.3755,0.3402,0.4108,0.04992173875177025
2002,5,0.11634999999999998,-0.3,0.5327,0.5888078166940381,0.33585,0.3324,0.3393,0.00487903679018719
2002,6,0.50695,0.4654,0.5485,0.058760573516602126,0.39875,0.3649,0.4326,0.047871129086329255
2002,7,0.44220000000000004,0.4304,0.454,0.01668772003600251,0.5015000000000001,0.4486,0.5544,0.07481189744953677
2002,8,0.473,0.4651,0.4809,0.011172287142747418,0.43635,0.4289,0.4438,0.010535891039679517
2002,9,0.41535,0.3514,0.4793,0.09043895731375944,0.45325000000000004,0.4465,0.46,0.00954594154601838
2002,10,0.5295,0.5295,0.5295,,0.4776,0.4776,0.4776,
2002,11,0.52015,0.4724,0.5679,0.06752869760331524,0.5401,0.5389,0.5413,0.0016970562748476843
2002,12,0.55735,0.538,0.5767,0.02736503243191936,0.4792,0.4682,0.4902,0.01555634918610406
2003,1,0.351,0.264,0.438,0.12303657992645928,0.4746,0.473,0.4762,0.0022627416997969972
2003,2,0.58935,0.583,0.5957,0.008980256121069225,0.5064,0.5012,0.5116,0.0073539105243401875
2003,3,0.519,0.5132,0.5248,0.00820243866176399,0.54965,0.5494,0.5499,0.0003535533905932741
2003,4,0.47919999999999996,0.4257,0.5327,0.07566042558696055,0.46435000000000004,0.448,0.4807,0.023122391744800127
2003,5,0.37320000000000003,0.2246,0.5218,0.21015213536864197,0.43179999999999996,0.4306,0.433,0.0016970562748477038
2003,6,0.48785,0.4838,0.4919,0.005727564927611032,0.46499999999999997,0.4478,0.4822,0.024324473272817285
2003,7,0.5016,0.4899,0.5133,0.016546298679765235,0.44284999999999997,0.4407,0.445,0.003040559159102153
2003,8,0.27175,0.0868,0.4567,0.26155879836090395,0.3986,0.3955,0.4017,0.004384062043356583
2003,9,0.508,0.4982,0.5178,0.013859292911256375,0.3891,0.3863,0.3919,0.003959797974644701
2003,10,0.4704,0.4704,0.4704,,0.4533,0.4533,0.4533,
2003,11,0.3899,0.3238,0.456,0.0934795164728616,0.44289999999999996,0.3963,0.4895,0.06590235200658622
2003,12,0.3662,0.2164,0.516,0.21184919164348964,0.3315,0.3255,0.3375,0.008485281374238578
2004,1,0.28250000000000003,0.2164,0.3486,0.09347951647286158,0.36495,0.3591,0.3708,0.008273149339882636
2004,2,0.5340499999999999,0.4386,0.6295,0.13498668452851187,0.4449,0.4026,0.4872,0.05982123368838193
2004,3,0.47265,0.3816,0.5637,0.12876414485407028,0.48875,0.4804,0.4971,0.011808683245815358
2004,4,0.4468,0.4145,0.4791,0.04567909806465098,0.47755000000000003,0.4659,0.4892,0.016475588001646568
2004,5,0.5277000000000001,0.5231,0.5323,0.006505382386916267,0.49085,0.4832,0.4985,0.010818733752154164
2004,6,0.4804,0.4455,0.5153,0.049356053326821,0.49645,0.4918,0.5011,0.006576093065034874
2004,7,0.47335,0.4693,0.4774,0.005727564927611032,0.4783,0.4761,0.4805,0.0031112698372207804
2004,8,0.4602,0.4236,0.4968,0.05176021638285531,0.4592,0.4366,0.4818,0.031961226509631964
2004,9,0.4323,0.3794,0.4852,0.07481189744953673,0.42005000000000003,0.4067,0.4334,0.01887975105768084
2004,10,0.42135,0.3307,0.512,0.1281984594291211,0.41745,0.3957,0.4392,0.030759144981614805
2004,11,0.3746,0.3746,0.3746,,0.4322,0.4322,0.4322,
2004,12,0.575,0.5396,0.6104,0.05006316010800766,0.5508500000000001,0.5483,0.5534,0.0036062445840513483
2005,1,0.6215,0.4348,0.8082,0.26403367209505685,0.5157499999999999,0.51,0.5215,0.008131727983645226
2005,2,0.29979999999999996,0.1553,0.4443,0.20435385976291223,0.43795,0.4179,0.458,0.028354981925580572
2005,3,0.44205,0.4271,0.457,0.021142492757477798,0.4027,0.3943,0.4111,0.011879393923934025
2005,4,0.4556,0.427,0.4842,0.04044650788387054,0.47675,0.4683,0.4852,0.011950104602052671
2005,5,0.5031,0.4957,0.5105,0.010465180361560909,0.4878,0.4776,0.498,0.014424978336205551
2005,6,0.4919,0.4736,0.5102,0.025880108191427616,0.5125,0.4964,0.5286,0.022768838354206775
2005,7,0.52545,0.5098,0.5411,0.022132442251138893,0.47214999999999996,0.4617,0.4826,0.014778531726798806
2005,8,0.3954,0.291,0.4998,0.14764389591175117,0.43515000000000004,0.4026,0.4677,0.04603265145524425
2005,9,0.43385,0.4072,0.4605,0.03768879143724299,0.39515,0.3753,0.415,0.028072139213105907
2005,10,0.2042,0.2042,0.2042,,0.4403,0.4403,0.4403,
2005,11,0.5681,0.5599,0.5763,0.011596551211459399,0.42615000000000003,0.422,0.4303,0.0058689862838483845
2005,12,0.39244999999999997,0.3372,0.4477,0.07813529932111352,0.4766,0.4638,0.4894,0.018101933598375603
2006,1,0.5297,0.3987,0.6607,0.18526197667087543,0.4581,0.4482,0.468,0.014000714267493669
2006,2,0.42884999999999995,0.3747,0.483,0.07657966440250312,0.4505,0.4378,0.4632,0.017960512242138293
2006,3,0.38849999999999996,0.291,0.486,0.13788582233137678,0.4233,0.4189,0.4277,0.00622253967444164
2006,4,0.4877,0.465,0.5104,0.032102647865869194,0.4835,0.4749,0.4921,0.012162236636408611
2006,5,0.5226999999999999,0.4998,0.5456,0.032385490578343806,0.5159,0.5088,0.523,0.010040916292848968
2006,6,0.48,0.479,0.481,0.0014142135623730963,0.49065000000000003,0.4838,0.4975,0.009687362902255713
2006,7,0.45755,0.4303,0.4848,0.038537319574666835,0.47345000000000004,0.4617,0.4852,0.016617009357883863
2006,8,0.43715,0.4028,0.4715,0.04857823586751581,0.41469999999999996,0.4024,0.427,0.017394826817189058
2006,9,0.2691,0.0904,0.4478,0.2527199635960721,0.30979999999999996,0.2944,0.3252,0.021778888860545638
2006,10,0.4036,0.4036,0.4036,,0.2679,0.2679,0.2679,
2006,11,0.31155,0.1479,0.4752,0.23143604948235702,0.35685,0.3419,0.3718,0.021142492757477798
2006,12,0.51285,0.4286,0.5971,0.11914749262993321,0.39465,0.3934,0.3959,0.001767766952966331
2007,1,0.2429,0.1722,0.3136,0.09998489885977781,0.41910000000000003,0.4075,0.4307,0.01640487732352796
2007,2,0.5276000000000001,0.4386,0.6166,0.12586500705120554,0.44089999999999996,0.4337,0.4481,0.01018233764908632
2007,3,0.48919999999999997,0.4878,0.4906,0.0019798989873222915,0.48919999999999997,0.4792,0.4992,0.014142135623730904
2007,4,0.42945,0.4216,0.4373,0.01110157646462883,0.46704999999999997,0.4579,0.4762,0.012940054095713867
2007,5,0.5226999999999999,0.5199,0.5255,0.003959797974644583,0.47775,0.4753,0.4802,0.0034648232278140937
2007,6,0.45585,0.4357,0.476,0.028496403281817868,0.4779,0.4721,0.4837,0.008202438661763931
2007,7,0.44805,0.4424,0.4537,0.00799030662740797,0.44489999999999996,0.4441,0.4457,0.0011313708498984496
2007,8,0.43910000000000005,0.4302,0.448,0.012586500705120553,0.46185,0.4528,0.4709,0.012798632739476514
2007,9,0.46735,0.4518,0.4829,0.02199102089490164,0.42685,0.4176,0.4361,0.013081475451951102
2007,10,0.4443,0.4443,0.4443,,0.4005,0.4005,0.4005,
2007,11,0.33475,0.2063,0.4632,0.18165573208682406,0.3857,0.3836,0.3878,0.0029698484809834867
2007,12,0.4052,0.403,0.4074,0.0031112698372207804,0.3705,0.3595,0.3815,0.01555634918610406
2008,1,0.3619,0.3208,0.403,0.05812417741353424,0.44320000000000004,0.443,0.4434,0.00028284271247460747
2008,2,0.5908500000000001,0.5742,0.6075,0.02354665581351207,0.5091,0.4967,0.5215,0.01753624817342635
2008,3,0.53155,0.4903,0.5728,0.058336309447890165,0.54165,0.5405,0.5428,0.0016263455967290372
2008,4,0.48465,0.4466,0.5227,0.053810826048296304,0.5013,0.5002,0.5024,0.0015556349186103902
2008,5,0.4998,0.4983,0.5013,0.0021213203435595856,0.497,0.4895,0.5045,0.010606601717798203
2008,6,0.489,0.4625,0.5155,0.037476659402886976,0.49339999999999995,0.4855,0.5013,0.011172287142747418
2008,7,0.48465,0.4705,0.4988,0.02001112190757931,0.47625,0.4743,0.4782,0.0027577164466275456
2008,8,0.4524,0.446,0.4588,0.009050966799187774,0.46575,0.4584,0.4731,0.010394469683442282
2008,9,0.4456,0.3875,0.5037,0.08216580797387682,0.45365,0.425,0.4823,0.040517218561989185
2008,10,0.45695,0.3801,0.5338,0.1086823122683724,0.42735,0.4133,0.4414,0.019869700551341997
2008,11,0.2209,0.2209,0.2209,,0.35,0.35,0.35,
2008,12,0.39945,0.2135,0.5854,0.26297301192327704,0.35150000000000003,0.3461,0.3569,0.007636753236814716
2009,1,0.43805,0.2883,0.5878,0.21177848096537097,0.42669999999999997,0.3918,0.4616,0.04935605332682106
2009,2,0.49460000000000004,0.4372,0.552,0.08117585848021569,0.49895,0.4616,0.5363,0.05282087655463509
2009,3,0.51125,0.4275,0.595,0.1184403858487467,0.53975,0.503,0.5765,0.05197234841721121
2009,4,0.55525,0.546,0.5645,0.013081475451951102,0.46775,0.451,0.4845,0.023688077169749324
2009,5,0.3439,0.1769,0.5109,0.2361736649163069,0.41769999999999996,0.4174,0.418,0.0004242640687119014
2009,6,0.42115,0.3772,0.4651,0.06215468606629757,0.41700000000000004,0.4086,0.4254,0.011879393923933966
2009,7,0.4708,0.4699,0.4717,0.0012727922061358025,0.45935000000000004,0.4582,0.4605,0.001626345596729096
2009,8,0.43284999999999996,0.4105,0.4552,0.031607673119038705,0.4396,0.4123,0.4669,0.03860803025278548
2009,9,0.38945,0.2481,0.5308,0.19989908704143702,0.39825,0.3737,0.4228,0.034718942956259505
2009,10,0.2113,0.2113,0.2113,,0.3763,0.3763,0.3763,
2009,11,0.5758,0.5736,0.578,0.0031112698372207804,0.37129999999999996,0.3565,0.3861,0.02093036072312184
2009,12,0.30974999999999997,0.0579,0.5616,0.356169685683664,0.4508,0.4464,0.4552,0.00622253967444162
2010,1,0.5029,0.4442,0.5616,0.0830143361113007,0.46395,0.4372,0.4907,0.037830212793480346
2010,2,0.51125,0.4765,0.546,0.049143921292465115,0.50925,0.4804,0.5381,0.04080006127446379
2010,3,0.4505,0.3856,0.5154,0.09178246019801387,0.4907,0.4832,0.4982,0.010606601717798163
2010,4,0.52675,0.5138,0.5397,0.018314065632731566,0.49185,0.4907,0.493,0.0016263455967290372
2010,5,0.49015,0.4872,0.4931,0.004171930009000583,0.49939999999999996,0.4964,0.5024,0.00424264068711923
2010,6,0.4688,0.4468,0.4908,0.03111269837220812,0.4534,0.4495,0.4573,0.005515432893255071
2010,7,0.42064999999999997,0.3866,0.4547,0.0481539717988039,0.44725000000000004,0.4419,0.4526,0.007566042558696069
2010,8,0.4739,0.4575,0.4903,0.023193102422918735,0.4474,0.4345,0.4603,0.0182433549546129
