Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2000,2,0.5037,0.5037,0.5037,,0.4865,0.4865,0.4865,
2000,3,0.44145,0.3956,0.4873,0.06484169183480641,0.4692,0.4692,0.4692,0.0
2000,4,0.45945,0.3966,0.5223,0.08888332239514903,0.4571,0.4555,0.4587,0.0022627416997969383
2000,5,0.45315,0.4061,0.5002,0.0665387481096541,0.45620000000000005,0.4418,0.4706,0.020364675298172583
2000,6,0.46055,0.4595,0.4616,0.0014849242404917434,0.43520000000000003,0.4303,0.4401,0.006929646455628129
2000,7,0.39885000000000004,0.3553,0.4424,0.06158900064134828,0.40685000000000004,0.4006,0.4131,0.008838834764831872
2000,8,0.3772,0.3395,0.4149,0.05331585130146564,0.39354999999999996,0.3893,0.3978,0.0060104076400856795
2000,9,0.43289999999999995,0.3984,0.4674,0.0487903679018718,0.41875,0.4178,0.4197,0.0013435028842544493
2000,10,0.44255,0.4356,0.4495,0.009828784258493027,0.44075,0.4203,0.4612,0.028920667350529807
2000,11,0.413,0.413,0.413,,0.4541,0.4541,0.4541,
2000,12,0.51245,0.4472,0.5777,0.09227743494484447,0.46315,0.4601,0.4662,0.004313351365237936
2001,1,0.44335,0.3781,0.5086,0.09227743494484449,0.46965,0.4638,0.4755,0.008273149339882577
2001,2,0.43935,0.4253,0.4534,0.019869700551341997,0.45225,0.4452,0.4593,0.009970205614730322
2001,3,0.46245,0.4087,0.5162,0.07601397897755387,0.47335,0.4688,0.4779,0.006434671708797581
2001,4,0.49405,0.4877,0.5004,0.008980256121069107,0.45940000000000003,0.4481,0.4707,0.015980613254816
2001,5,0.39339999999999997,0.3863,0.4005,0.010040916292848989,0.40935,0.3972,0.4215,0.017182694782833095
2001,6,0.36970000000000003,0.367,0.3724,0.0038183766184073484,0.377,0.3762,0.3778,0.0011313708498985084
2001,7,0.41445,0.3609,0.468,0.07573113626507928,0.3952,0.3939,0.3965,0.0018384776310850566
