,Diferença Relativa,Similaridade com Produtividade
SG_mean_mes_2,0.07845097950093202,0.9796449462506573
SG_critical_max,0.07845097950093202,0.9796449462506573
EVI_mean_mes_7,0.09386206538121723,0.9307925030873688
EVI_critical_mean,0.07106531714347243,0.9303179709871268
EVI_mean_mes_8,0.0667070952092177,0.8989073202852845
SG_mean_mes_7,0.06217885503711004,0.8642557523416128
SG_mean_mes_3,0.06136530462441909,0.8577977672720909
EVI_critical_max,0.17094241985703643,0.6468232958014452
SG_critical_mean,0.02610015174506833,0.4841823928710175
SG_critical_std,0.6479718089599558,0.2239632790318422
EVI_critical_std,0.9428460183754063,0.1595051883199593
EVI_critical_min,-0.040162429771374554,8.205227608470977e-10
SG_critical_min,-0.07295541613458441,6.465524782228727e-10
